Time,Average(B)
(us),(mV)

-13.83325169,-0.02328442
-13.82075169,-0.02272168
-13.80825169,-0.02329396
-13.79575169,-0.02329874
-13.78325169,-0.02345373
-13.77075169,-0.02371125
-13.75825169,-0.02272883
-13.74575169,-0.02333926
-13.73325169,-0.02490586
-13.72075169,-0.02236162
-13.70825169,-0.01928088
-13.69575169,-0.01934527
-13.68325170,-0.02099532
-13.67075170,-0.02089996
-13.65825170,-0.02235686
-13.64575170,-0.02198727
-13.63325170,-0.02267162
-13.62075170,-0.02396400
-13.60825170,-0.02272168
-13.59575170,-0.02255954
-13.58325170,-0.01870384
-13.57075170,-0.02266924
-13.55825170,-0.02256431
-13.54575170,-0.02100009
-13.53325170,-0.02554491
-13.52075171,-0.02286475
-13.50825171,-0.02631748
-13.49575171,-0.02564743
-13.48325171,-0.02523731
-13.47075171,-0.02365880
-13.45825171,-0.02151515
-13.44575171,-0.02069012
-13.43325171,-0.02647486
-13.42075171,-0.02792699
-13.40825171,-0.02729987
-13.39575171,-0.02782685
-13.38325171,-0.02421913
-13.37075171,-0.02548529
-13.35825171,-0.02760511
-13.34575172,-0.02386862
-13.33325172,-0.02240694
-13.32075172,-0.02459589
-13.30825172,-0.02273361
-13.29575172,-0.01970771
-13.28325172,-0.02387576
-13.27075172,-0.02486057
-13.25825172,-0.02439321
-13.24575172,-0.02162005
-13.23325172,-0.02230202
-13.22075172,-0.02454820
-13.20825172,-0.02356579
-13.19575172,-0.02157953
-13.18325173,-0.02449574
-13.17075173,-0.01950026
-13.15825173,-0.01861085
-13.14575173,-0.02600274
-13.13325173,-0.02726172
-13.12075173,-0.02673954
-13.10825173,-0.02454580
-13.09575173,-0.02397592
-13.08325173,-0.02151754
-13.07075173,-0.02037536
-13.05825173,-0.01786928
-13.04575173,-0.01876823
-13.03325173,-0.01876822
-13.02075173,-0.02512762
-13.00825174,-0.02308651
-12.99575174,-0.02069011
-12.98325174,-0.02146030
-12.97075174,-0.02335119
