Time,Average(B)
(us),(mV)

-14.99241395,-0.00996235
-14.97991395,-0.01061331
-14.96741395,-0.01283325
-14.95491395,-0.01563025
-14.94241395,-0.00880588
-14.92991395,-0.01151702
-14.91741395,-0.00958560
-14.90491395,-0.01189139
-14.89241395,-0.00990512
-14.87991396,-0.00906579
-14.86741396,-0.01568748
-14.85491396,-0.00863896
-14.84241396,-0.00900140
-14.82991396,-0.00798562
-14.81741396,-0.00520531
-14.80491396,-0.00683630
-14.79241396,-0.01259958
-14.77991396,-0.00990750
-14.76741396,-0.00808100
-14.75491396,-0.01208453
-14.74241396,-0.01366544
-14.72991396,-0.01036771
-14.71741396,-0.01256143
-14.70491397,-0.01527257
-14.69241397,-0.01490299
-14.67991397,-0.01625498
-14.66741397,-0.01121181
-14.65491397,-0.01443801
-14.64241397,-0.01307647
-14.62991397,-0.01283803
-14.61741397,-0.01229913
-14.60491397,-0.01393012
-14.59241397,-0.00979543
-14.57991397,-0.00932331
-14.56741397,-0.01104251
-14.55491397,-0.00927801
-14.54241398,-0.01698701
-14.52991398,-0.01540849
-14.51741398,-0.01531073
-14.50491398,-0.01631221
-14.49241398,-0.01302163
-14.47991398,-0.01120466
-14.46741398,-0.00875342
-14.45491398,-0.00839098
-14.44241398,-0.01120704
-14.42991398,-0.01354145
-14.41741398,-0.01444278
-14.40491398,-0.00861035
-14.39241398,-0.00589681
-14.37991398,-0.00744196
-14.36741399,-0.01349614
-14.35491399,-0.01151464
-14.34241399,-0.00986220
-14.32991399,-0.01568033
-14.31741399,-0.01183655
-14.30491399,-0.01532504
-14.29241399,-0.01046547
-14.27991399,-0.01447855
-14.26741399,-0.01131196
-14.25491399,-0.00990036
-14.24241399,-0.01246129
-14.22991399,-0.01564218
-14.21741399,-0.01215607
-14.20491400,-0.00974059
-14.19241400,-0.01129527
-14.17991400,-0.01484099
-14.16741400,-0.01510805
-14.15491400,-0.01282849
-14.14241400,-0.01595453
-14.12991400,-0.01559210
-14.11741400,-0.01319332
-14.10491400,-0.01429018
-14.09241400,-0.01397304
-14.07991400,-0.01109259
-14.06741400,-0.01292387
-14.05491400,-0.01360583
-14.04241400,-0.01207023
-14.02991401,-0.00881780
-14.01741401,-0.01074446
-14.00491401,-0.00739665
-13.99241401,-0.00933284
-13.97991401,-0.01370598
-13.96741401,-0.01119751
-13.95491401,-0.00573229
-13.94241401,-0.01063954
-13.92991401,-0.00610427
-13.91741401,-0.00975013
-13.90491401,-0.01260435
-13.89241401,-0.01115697
-13.87991401,-0.00401069
-13.86741402,-0.00658354
-13.85491402,-0.00999811
-13.84241402,-0.01145742
-13.82991402,-0.01156710
-13.81741402,-0.01093521
-13.80491402,-0.00837905
-13.79241402,-0.01026756
-13.77991402,-0.00916593
-13.76741402,-0.01074446
-13.75491402,-0.01204400
-13.74241402,-0.01522250
-13.72991402,-0.01892321
-13.71741402,-0.01526065
-13.70491402,-0.01031048
-13.69241403,-0.01152180
-13.67991403,-0.01194385
-13.66741403,-0.01444517
-13.65491403,-0.01199154
-13.64241403,-0.00892272
-13.62991403,-0.00489057
-13.61741403,-0.00438267
-13.60491403,-0.00583959
-13.59241403,-0.01309078
-13.57991403,-0.01564932
-13.56741403,-0.01469554
-13.55491403,-0.01424009
-13.54241403,-0.01073731
-13.52991404,-0.01283803
-13.51741404,-0.01326485
-13.50491404,-0.00889410
-13.49241404,-0.00626880
-13.47991404,-0.01172924
-13.46741404,-0.01093522
-13.45491404,-0.00870335
-13.44241404,-0.00593973
-13.42991404,-0.00884880
-13.41741404,-0.01028187
-13.40491404,-0.01246605
-13.39241404,-0.00974059
-13.37991404,-0.01532265
-13.36741404,-0.01720639
-13.35491405,-0.01569940
-13.34241405,-0.01416380
-13.32991405,-0.01541803
-13.31741405,-0.01695364
-13.30491405,-0.01130480
-13.29241405,-0.01334592
-13.27991405,-0.01834856
-13.26741405,-0.01319809
-13.25491405,-0.01470031
-13.24241405,-0.01574709
-13.22991405,-0.00953791
-13.21741405,-0.01413042
-13.20491405,-0.01292625
-13.19241406,-0.01047263
-13.17991406,-0.01345083
-13.16741406,-0.01089469
-13.15491406,-0.00662646
-13.14241406,-0.00970244
-13.12991406,-0.01110929
-13.11741406,-0.01151464
-13.10491406,-0.00860320
-13.09241406,-0.01104013
-13.07991406,-0.01302401
-13.06741406,-0.00990036
-13.05491406,-0.00927562
-13.04241406,-0.01135250
-13.02991406,-0.01350330
-13.01741407,-0.01360583
-13.00491407,-0.01345799
-12.99241407,-0.01401358
-12.97991407,-0.01303832
-12.96741407,-0.01354860
-12.95491407,-0.01240406
-12.94241407,-0.01151226
-12.92991407,-0.01146695
-12.91741407,-0.01214892
-12.90491407,-0.01407080
-12.89241407,-0.01230868
-12.87991407,-0.01025564
-12.86741407,-0.00879873
-12.85491408,-0.01177693
-12.84241408,-0.00943300
-12.82991408,-0.01194623
-12.81741408,-0.00641424
-12.80491408,-0.00843152
-12.79241408,-0.01703471
-12.77991408,-0.01287379
-12.76741408,-0.01000289
-12.75491408,-0.01192716
-12.74241408,-0.00771140
-12.72991408,-0.00829083
-12.71741408,-0.00317612
-12.70491408,-0.00939007
-12.69241408,-0.00953791
-12.67991409,-0.01641951
-12.66741409,-0.01407557
-12.65491409,-0.00964998
-12.64241409,-0.01042017
-12.62991409,-0.01179601
-12.61741409,-0.01057516
-12.60491409,-0.01287380
-12.59241409,-0.00722974
-12.57991409,-0.00823599
-12.56741409,-0.01151464
-12.55491409,-0.00974775
-12.54241409,-0.01161718
-12.52991409,-0.01099721
-12.51741410,-0.00776863
-12.50491410,-0.00735134
-12.49241410,-0.01120705
-12.47991410,-0.01001242
-12.46741410,-0.00760410
-12.45491410,-0.00953791
-12.44241410,-0.01537273
-12.42991410,-0.01359867
-12.41741410,-0.01646958
-12.40491410,-0.01307885
-12.39241410,-0.01380374
-12.37991410,-0.01699894
-12.36741410,-0.01605707
-12.35491411,-0.01423056
-12.34241411,-0.01105206
-12.32991411,-0.01078738
-12.31741411,-0.01413042
-12.30491411,-0.01104729
-12.29241411,-0.01042971
-12.27991411,-0.01496499
-12.26741411,-0.01233491
-12.25491411,-0.01650536
-12.24241411,-0.01282611
-12.22991411,-0.01099482
-12.21741411,-0.01111166
-12.20491411,-0.00780678
-12.19241411,-0.00985505
-12.17991412,-0.00657639
-12.16741412,-0.01139780
-12.15491412,-0.01058231
-12.14241412,-0.01031764
-12.12991412,-0.00814537
-12.11741412,-0.00598742
-12.10491412,-0.00620680
-12.09241412,-0.01114506
-12.07991412,-0.00865089
-12.06741412,-0.00541515
-12.05491412,-0.00333112
-12.04241412,-0.00741096
-12.02991412,-0.01377275
-12.01741413,-0.01427826
-12.00491413,-0.01501267
-11.99241413,-0.01319570
-11.97991413,-0.01645766
-11.96741413,-0.01266157
-11.95491413,-0.01584246
-11.94241413,-0.01151226
-11.92991413,-0.01094237
-11.91741413,-0.00984551
-11.90491413,-0.00839098
-11.89241413,-0.00895610
-11.87991413,-0.00722974
-11.86741413,-0.00875580
-11.85491413,-0.01344607
-11.84241414,-0.00880588
-11.82991414,-0.01046070
-11.81741414,-0.00962852
-11.80491414,-0.00975490
-11.79241414,-0.01348899
-11.77991414,-0.01556825
-11.76741414,-0.01328154
-11.75491414,-0.00994804
-11.74241414,-0.00754687
-11.72991414,-0.00823360
-11.71741414,-0.01407795
-11.70491414,-0.01161240
-11.69241414,-0.01411849
-11.67991415,-0.01459778
-11.66741415,-0.01078976
-11.65491415,-0.01192716
-11.64241415,-0.01620491
-11.62991415,-0.00990989
-11.61741415,-0.01673904
-11.60491415,-0.01293340
-11.59241415,-0.01542041
-11.57991415,-0.01282372
-11.56741415,-0.01052747
-11.55491415,-0.01000289
-11.54241415,-0.00802615
-11.52991415,-0.01119274
-11.51741415,-0.01413757
-11.50491416,-0.01308840
-11.49241416,-0.01178409
-11.47991416,-0.00937576
-11.46741416,-0.01219899
-11.45491416,-0.01271165
-11.44241416,-0.01171494
-11.42991416,-0.01069200
-11.41741416,-0.01270926
-11.40491416,-0.01668658
-11.39241416,-0.01599031
-11.37991416,-0.01751160
-11.36741416,-0.01457870
-11.35491416,-0.01901383
-11.34241417,-0.01443324
-11.32991417,-0.01197246
-11.31741417,-0.01231106
-11.30491417,-0.00818591
-11.29241417,-0.00974059
-11.27991417,-0.01287618
-11.26741417,-0.01355337
-11.25491417,-0.01599507
-11.24241417,-0.01442848
-11.22991417,-0.01110451
-11.21741417,-0.01001004
-11.20491417,-0.00937100
-11.19241417,-0.01449286
-11.17991417,-0.01286902
-11.16741418,-0.00856027
-11.15491418,-0.01006011
-11.14241418,-0.00749203
-11.12991418,-0.01302640
-11.11741418,-0.01391581
-11.10491418,-0.00911586
-11.09241418,-0.01064670
-11.07991418,-0.00979782
-11.06741418,-0.00989320
-11.05491418,-0.01438078
-11.04241418,-0.01374651
-11.02991418,-0.01038202
-11.01741418,-0.01511043
-11.00491419,-0.01709910
-10.99241419,-0.01251612
-10.97991419,-0.01073253
-10.96741419,-0.01376559
-10.95491419,-0.01260673
-10.94241419,-0.01225621
-10.92991419,-0.01569463
-10.91741419,-0.01605946
-10.90491419,-0.01349853
-10.89241419,-0.01303356
-10.87991419,-0.01412326
-10.86741419,-0.01583532
-10.85491419,-0.01501983
-10.84241419,-0.01287141
-10.82991420,-0.01292864
-10.81741420,-0.01163387
-10.80491420,-0.00843628
-10.79241420,-0.01537511
-10.77991420,-0.01661743
-10.76741420,-0.01872053
-10.75491420,-0.01776436
-10.74241420,-0.00881303
-10.72991420,-0.01047502
-10.71741420,-0.00912301
-10.70491420,-0.01255905
-10.69241420,-0.01656497
-10.67991420,-0.01266873
-10.66741421,-0.01130957
-10.65491421,-0.01140495
-10.64241421,-0.01543472
-10.62991421,-0.01267827
-10.61741421,-0.00886787
-10.60491421,-0.01276173
